datetime,OI_CE,LTP_CE,STRIKE,LTP_PE,OI_PE
2022-12-07 21:03:33.765580,721650.0,6.6,44100.0,949.65,22900.0
2022-12-07 21:03:33.765580,976550.0,5.1,44200.0,1047.8,12550.0
2022-12-07 21:03:33.765580,528700.0,3.8,44300.0,1151.2,8550.0
2022-12-07 21:03:33.765580,483575.0,4.25,44400.0,1263.5,2950.0
2022-12-07 21:03:33.765580,3079175.0,4.25,44500.0,1350.85,13200.0
2022-12-07 21:03:33.765580,341200.0,4.3,44600.0,1440.0,1375.0
2022-12-07 21:03:33.765580,435675.0,3.5,44700.0,1560.05,675.0
2022-12-07 21:03:33.765580,435350.0,3.25,44800.0,1640.7,1600.0
2022-12-07 21:03:33.765580,286175.0,3.55,44900.0,1627.55,225.0
2022-12-07 21:03:33.765580,2124875.0,2.95,45000.0,1850.55,9400.0
2022-12-07 21:03:33.765580,191150.0,3.0,45100.0,1939.3,150.0
2022-12-07 21:03:33.765580,303250.0,2.9,45200.0,2099.65,150.0
2022-12-07 21:03:33.765580,125225.0,3.2,45300.0,2251.9,50.0
2022-12-07 21:03:33.765580,0.0,0.0,45400.0,0.0,0.0
2022-12-07 21:03:33.765580,1517650.0,2.75,45500.0,2131.3,625.0
2022-12-07 21:03:33.765580,0.0,0.0,45600.0,0.0,0.0
2022-12-07 21:03:33.765580,0.0,0.0,45700.0,0.0,0.0
2022-12-07 21:03:33.765580,0.0,0.0,45800.0,0.0,0.0
2022-12-07 21:03:33.765580,0.0,0.0,45900.0,0.0,0.0
2022-12-07 21:03:33.765580,2413425.0,2.55,46000.0,2648.65,475.0
2022-12-07 21:03:33.765580,0.0,0.0,46100.0,0.0,0.0
2022-12-07 21:03:33.765580,0.0,0.0,46200.0,0.0,0.0
2022-12-07 21:03:33.765580,0.0,0.0,46300.0,0.0,0.0
2022-12-07 21:03:33.765580,0.0,0.0,46400.0,0.0,0.0
2022-12-07 21:03:33.765580,658375.0,2.15,46500.0,3195.15,100.0
2022-12-07 21:03:33.765580,535750.0,1.8,47000.0,3749.8,800.0
2022-12-07 21:03:33.765580,195150.0,1.55,47500.0,0.0,0.0
2022-12-07 21:03:33.765580,632400.0,1.5,48000.0,0.0,0.0
2022-12-07 21:03:33.765580,758650.0,1.6,48500.0,0.0,0.0
2022-12-07 21:03:33.765580,0.0,0.0,49000.0,0.0,0.0
2022-12-07 21:03:33.765580,0.0,0.0,49500.0,0.0,0.0
2022-12-07 21:03:33.765580,0.0,0.0,50000.0,0.0,0.0
2022-12-07 21:03:33.765580,0.0,0.0,50500.0,0.0,0.0
2022-12-07 21:03:33.765580,0.0,0.0,51000.0,0.0,0.0
2022-12-07 21:03:33.765580,0.0,0.0,51500.0,0.0,0.0
2022-12-07 21:03:33.765580,0.0,0.0,52000.0,0.0,0.0
2022-12-07 21:03:33.765580,0.0,0.0,52500.0,0.0,0.0
